,№ п/п,KKS-код параметра,Наименование параметра,Наименование сигнала,Вид сигнала,min,max,Ед. изм.,Участие в задачах,Примечание
258,259,,Температура Т3 в систему ГВС АБК котельной,,F0GKB20СТ101,,,,,
259,260,,Температура В1 от насосной станции,,F0GKB10СТ101,,,,,
260,261,F0GHJ11CT005,Температура после охладителя выпара,,"4-20мА, линейный",-50,200,°C,,
261,262,,Уровень воды бака раствора щелочи,,F0GCN01СL001,,,,АР,
262,263,,Уровень воды бака раствора щелочи,,F0GCN01СL002,,,,,
263,264,,Температура внутреннего контура теплосети,,F0SAH10СT101,,,,,
264,265,,Температура внешнего контура теплосети,,F0SAH11СT101,,,,,
265,266,,Давление подпитки теплосети,,F0SAH20СP001,,,,,
266,267,,Давление реуиркуляции теплосети,,F0SAH21СP001,,,,,
267,1,F0CUB01DP001,"Задание для ЧРП НСВ №1,2",,"RS485, Modbus RTU",,,,"АР,ДУ",
268,2,F0CUB02DP001,"Задание для ЧРП НРВ №1,2",,"RS485, Modbus RTU",,,,"АР,ДУ",
269,3,,Задание для ЧРП ППН-1…3,,F0CUB03DP001,,,,"АР,ДУ",
270,4,F0CUB04DP001,Задание для ЧРП котловых насосов №1…4,,"RS485, Modbus RTU",,,,"АР,ДУ",
271,5,,"Задание для ЧРП ППНК-1,2",,F0CUB05DP001,,,,"АР,ДУ",
272,1,,"Датчик ""сухого хода"" на напоре НСВ-1 (К5.1)",,сработал,,,,ФГУ,замыкается при понижении
273,2,,"Датчик ""сухого хода"" на напоре НСВ-2 (К5.2)",,сработал,,,,ФГУ,замыкается при понижении
274,3,,Регулирующий клапан РТ-1 на трубопроводе байпаса насосов НСВ,,Не открыто,,,,"АР,ДУ",
275,4,,Регулирующий клапан РТ-1 на трубопроводе байпаса насосов НСВ,,Не закрыто,,,,"АР,ДУ",
276,5,,Регулирующий клапан РТ-1 на трубопроводе байпаса насосов НСВ,,превышение момента,,,,ДУ,
277,6,,Регулирующий клапан РТ-1 на трубопроводе байпаса насосов НСВ,,Неисправность,,,,ДУ,
278,7,,Регулирующий клапан РТ-1 на трубопроводе байпаса насосов НСВ,,Готовность,,,,ДУ,
279,8,,Регулирующий клапан РТ-1 на трубопроводе байпаса насосов НСВ,,Автоматический выключатель отключен,,,,ПС,
280,9,,Регулятор производительности ХВО РД-3,,Открыто,,,,"АР,ДУ",
281,10,,Регулятор производительности ХВО РД-3,,Закрыто,,,,"АР,ДУ",
282,11,,Регулятор производительности ХВО РД-3,,Автоматический выключатель отключен,,,,ПС,
283,12,,Регулятор температуры сырой воды РТ-4,,Открыто,,,,"АР,ДУ",
284,13,,Регулятор температуры сырой воды РТ-4,,Закрыто,,,,"АР,ДУ",
285,14,,Регулятор температуры сырой воды РТ-4,,Автоматический выключатель отключен,,,,ПС,
286,15,,Регулятор температуры умягченной воды РТ-71,,Открыто,,,,"АР,ДУ",
287,16,,Регулятор температуры умягченной воды РТ-71,,Закрыто,,,,"АР,ДУ",
288,17,,Регулятор температуры умягченной воды РТ-71,,Автоматический выключатель отключен,,,,ПС,
289,18,F0GBJ01CF151,Сигнализация начала/окончания процесса регенирации Фильтр К9.2.1,,,,,,ПС,
290,19,F0GBJ02CF151,Сигнализация начала/окончания процесса регенирации Фильтр К9.2.2,,,,,,ПС,
291,20,,"Датчик ""сухого хода"" на напоре НРВ-1 (К10.5.1)",,сработал,,,,ФГУ,замыкается при понижении
292,21,,"Датчик ""сухого хода"" на напоре НРВ-2 (К10.5.2)",,сработал,,,,ФГУ,замыкается при понижении
293,22,,Регулятор температуры в баке- газоотделителе Р-66,,Открыто,,,,"АР,ДУ",
294,23,,Регулятор температуры в баке- газоотделителе Р-66,,Закрыто,,,,"АР,ДУ",
295,24,,Регулятор температуры в баке- газоотделителе Р-66,,Автоматический выключатель отключен,,,,ПС,
296,25,,Регулятор уровня в баке- газоотделителе РТ-68,,Открыто,,,,"АР,ДУ",
297,26,,Регулятор уровня в баке- газоотделителе РТ-68,,Закрыто,,,,"АР,ДУ",
298,27,,Регулятор уровня в баке- газоотделителе РТ-68,,Автоматический выключатель отключен,,,,ПС,
299,28,,Регулятор давления рабочей воды на эжектора РД-5,,Открыто,,,,"АР,ДУ",
300,29,,Регулятор давления рабочей воды на эжектора РД-5,,Закрыто,,,,"АР,ДУ",
301,30,,Регулятор давления рабочей воды на эжектора РД-5,,Автоматический выключатель отключен,,,,ПС,
302,31,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ДУ,
303,32,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ДУ,
304,33,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ДУ,
305,34,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ДУ,
306,35,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ДУ,
309,38,F0GDH11AA001,Задвижка на линии аварийного слива РК.КА9,,,,,,ПС,
310,39,,"Датчик ""сухого хода"" на напоре ППН- 1 (К6.1)",,сработал,,,,ФГУ,замыкается при понижении
311,40,,"Датчик ""сухого хода"" на напоре ППН- 2 (К6.2)",,сработал,,,,ФГУ,замыкается при понижении
312,41,,"Датчик ""сухого хода"" на напоре ППН- 3 (К6.3)",,сработал,,,,ФГУ,замыкается при понижении
313,42,F0GHJ10CF151,Датчик реле протока через охладитель выпара,,,,,,АР,замыкается при понижении
314,43,F0GHJ01CQ001,pH сырой воды после ХВО,,,,,,,
315,44,F0GHJ01CQ001,pH сырой воды после ХВО,,,,,,,
316,45,,Регулятор расхода сырой воды на охладитель выпара РД-2,,Не открыто,,,,"АР,ДУ",
317,46,,Регулятор расхода сырой воды на охладитель выпара РД-2,,Не закрыто,,,,"АР,ДУ",
318,47,,Регулятор расхода сырой воды на охладитель выпара РД-2,,превышение момента,,,,ДУ,
319,48,,Регулятор расхода сырой воды на охладитель выпара РД-2,,Неисправность,,,,ДУ,
320,49,,Регулятор расхода сырой воды на охладитель выпара РД-2,,Готовность,,,,ДУ,
321,50,,Регулятор расхода сырой воды на охладитель выпара РД-2,,Автоматический выключатель отключен,,,,ПС,
322,51,,Регулятор уровня в вакуумном деаэраторе РТ-63,,Открыто,,,,"АР,ДУ",
323,52,,Регулятор уровня в вакуумном деаэраторе РТ-63,,Закрыто,,,,"АР,ДУ",
324,53,,Регулятор уровня в вакуумном деаэраторе РТ-63,,Автоматический выключатель отключен,,,,ПС,
325,54,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,,Не открыто,,,,"АР,ДУ",
326,55,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,,Не закрыто,,,,"АР,ДУ",
327,56,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,,превышение момента,,,,ДУ,
328,57,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,,Неисправность,,,,ДУ,
329,58,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,,Готовность,,,,ДУ,
330,59,,Регулятор температуры ХОВ на вакуумный деаэратор РТ-59,,Автоматический выключатель отключен,,,,ПС,
331,60,,Затвор дисковый К-27 на входе насосной группы №1,,Не открыто,,,,ДУ,
332,61,,Затвор дисковый К-27 на входе насосной группы №1,,Не закрыто,,,,ДУ,
333,62,,Затвор дисковый К-27 на входе насосной группы №1,,превышение момента на открытие,,,,ДУ,
334,63,,Затвор дисковый К-27 на входе насосной группы №1,,превышение момента на закрытие,,,,ДУ,
335,64,,Затвор дисковый К-27 на входе насосной группы №1,,Дистанционный режим работы,,,,ДУ,
338,67,,Затвор дисковый К-27 на входе насосной группы №1,,Автоматический выключатель отключен,,,,ПС,
339,68,,Затвор дисковый К-26 на входе насосной группы №2,,Не открыто,,,,ДУ,
340,69,,Затвор дисковый К-26 на входе насосной группы №2,,Не закрыто,,,,ДУ,
341,70,,Затвор дисковый К-26 на входе насосной группы №2,,превышение момента на открытие,,,,ДУ,
342,71,,Затвор дисковый К-26 на входе насосной группы №2,,превышение момента на закрытие,,,,ДУ,
343,72,,Затвор дисковый К-26 на входе насосной группы №2,,Дистанционный режим работы,,,,ДУ,
346,75,,Затвор дисковый К-26 на входе насосной группы №2,,Автоматический выключатель отключен,,,,ПС,
347,76,,Затвор дисковый К-37 на выходе насосной группы №1,,Не открыто,,,,ДУ,
348,77,,Затвор дисковый К-37 на выходе насосной группы №1,,Не закрыто,,,,ДУ,
349,78,,Затвор дисковый К-37 на выходе насосной группы №1,,превышение момента на открытие,,,,ДУ,
350,79,,Затвор дисковый К-37 на выходе насосной группы №1,,превышение момента на закрытие,,,,ДУ,
351,80,,Затвор дисковый К-37 на выходе насосной группы №1,,Дистанционный режим работы,,,,ДУ,
354,83,,Затвор дисковый К-37 на выходе насосной группы №1,,Автоматический выключатель отключен,,,,ПС,
355,84,,Затвор дисковый К-36 на выходе насосной группы №2,,Не открыто,,,,ДУ,
356,85,,Затвор дисковый К-36 на выходе насосной группы №2,,Не закрыто,,,,ДУ,
357,86,,Затвор дисковый К-36 на выходе насосной группы №2,,превышение момента на открытие,,,,ДУ,
358,87,,Затвор дисковый К-36 на выходе насосной группы №2,,превышение момента на закрытие,,,,ДУ,
359,88,,Затвор дисковый К-36 на выходе насосной группы №2,,Дистанционный режим работы,,,,ДУ,
362,91,,Затвор дисковый К-36 на выходе насосной группы №2,,Автоматический выключатель отключен,,,,ПС,
363,92,,Затвор дисковый К-34 на всасе котлового насоса №1,,Не открыто,,,,ДУ,
364,93,,Затвор дисковый К-34 на всасе котлового насоса №1,,Не закрыто,,,,ДУ,
365,94,,Затвор дисковый К-34 на всасе котлового насоса №1,,превышение момента на открытие,,,,ДУ,
366,95,,Затвор дисковый К-34 на всасе котлового насоса №1,,превышение момента на закрытие,,,,ДУ,
367,96,,Затвор дисковый К-34 на всасе котлового насоса №1,,Дистанционный режим работы,,,,ДУ,
370,99,,Затвор дисковый К-34 на всасе котлового насоса №1,,Автоматический выключатель отключен,,,,ПС,
371,100,,Затвор дисковый К-35 на напоре котлового насоса №1,,Не открыто,,,,ДУ,
372,101,,Затвор дисковый К-35 на напоре котлового насоса №1,,Не закрыто,,,,ДУ,
373,102,,Затвор дисковый К-35 на напоре котлового насоса №1,,превышение момента на открытие,,,,ДУ,
374,103,,Затвор дисковый К-35 на напоре котлового насоса №1,,превышение момента на закрытие,,,,ДУ,
375,104,,Затвор дисковый К-35 на напоре котлового насоса №1,,Дистанционный режим работы,,,,ДУ,
378,107,,Затвор дисковый К-35 на напоре котлового насоса №1,,Автоматический выключатель отключен,,,,ПС,
379,108,F0NDG01CP151,"Датчик ""сухого хода"" на напоре котлового насоса №1 (К4.1)",,,,,,ФГУ,замыкается при понижении
380,109,,Затвор дисковый К-32 на всасе котлового насоса №2,,Не открыто,,,,ДУ,
381,110,,Затвор дисковый К-32 на всасе котлового насоса №2,,Не закрыто,,,,ДУ,
382,111,,Затвор дисковый К-32 на всасе котлового насоса №2,,превышение момента на открытие,,,,ДУ,
383,112,,Затвор дисковый К-32 на всасе котлового насоса №2,,превышение момента на закрытие,,,,ДУ,
384,113,,Затвор дисковый К-32 на всасе котлового насоса №2,,Дистанционный режим работы,,,,ДУ,
387,116,,Затвор дисковый К-32 на всасе котлового насоса №2,,Автоматический выключатель отключен,,,,ПС,
388,117,,Затвор дисковый К-33 на напоре котлового насоса №2,,Не открыто,,,,ДУ,
389,118,,Затвор дисковый К-33 на напоре котлового насоса №2,,Не закрыто,,,,ДУ,
390,119,,Затвор дисковый К-33 на напоре котлового насоса №2,,превышение момента на открытие,,,,ДУ,
391,120,,Затвор дисковый К-33 на напоре котлового насоса №2,,превышение момента на закрытие,,,,ДУ,
392,121,,Затвор дисковый К-33 на напоре котлового насоса №2,,Дистанционный режим работы,,,,ДУ,
395,124,,Затвор дисковый К-33 на напоре котлового насоса №2,,Автоматический выключатель отключен,,,,ПС,
396,125,F0NDG02CP151,"Датчик ""сухого хода"" на напоре котлового насоса №2 (К4.2)",,,,,,ФГУ,замыкается при понижении
397,126,,Затвор дисковый К-30 на всасе котлового насоса №3,,Не открыто,,,,ДУ,
398,127,,Затвор дисковый К-30 на всасе котлового насоса №3,,Не закрыто,,,,ДУ,
399,128,,Затвор дисковый К-30 на всасе котлового насоса №3,,превышение момента на открытие,,,,ДУ,
400,129,,Затвор дисковый К-30 на всасе котлового насоса №3,,превышение момента на закрытие,,,,ДУ,
401,130,,Затвор дисковый К-30 на всасе котлового насоса №3,,Дистанционный режим работы,,,,ДУ,
404,133,,Затвор дисковый К-30 на всасе котлового насоса №3,,Автоматический выключатель отключен,,,,ПС,
405,134,,Затвор дисковый К-31 на напоре котлового насоса №3,,Не открыто,,,,ДУ,
406,135,,Затвор дисковый К-31 на напоре котлового насоса №3,,Не закрыто,,,,ДУ,
407,136,,Затвор дисковый К-31 на напоре котлового насоса №3,,превышение момента на открытие,,,,ДУ,
408,137,,Затвор дисковый К-31 на напоре котлового насоса №3,,превышение момента на закрытие,,,,ДУ,
409,138,,Затвор дисковый К-31 на напоре котлового насоса №3,,Дистанционный режим работы,,,,ДУ,
412,141,,Затвор дисковый К-31 на напоре котлового насоса №3,,Автоматический выключатель отключен,,,,ПС,
413,142,F0NDG03CP151,"Датчик ""сухого хода"" на напоре котлового насоса №3 (К4.3)",,,,,,ФГУ,замыкается при понижении
414,143,,Затвор дисковый К-28 на всасе котлового насоса №4,,Не открыто,,,,ДУ,
415,144,,Затвор дисковый К-28 на всасе котлового насоса №4,,Не закрыто,,,,ДУ,
416,145,,Затвор дисковый К-28 на всасе котлового насоса №4,,превышение момента на открытие,,,,ДУ,
417,146,,Затвор дисковый К-28 на всасе котлового насоса №4,,превышение момента на закрытие,,,,ДУ,
418,147,,Затвор дисковый К-28 на всасе котлового насоса №4,,Дистанционный режим работы,,,,ДУ,
421,150,,Затвор дисковый К-28 на всасе котлового насоса №4,,Автоматический выключатель отключен,,,,ПС,
422,151,,Затвор дисковый К-29 на напоре котлового насоса №4,,Не открыто,,,,ДУ,
423,152,,Затвор дисковый К-29 на напоре котлового насоса №4,,Не закрыто,,,,ДУ,
424,153,,Затвор дисковый К-29 на напоре котлового насоса №4,,превышение момента на открытие,,,,ДУ,
425,154,,Затвор дисковый К-29 на напоре котлового насоса №4,,превышение момента на закрытие,,,,ДУ,
426,155,,Затвор дисковый К-29 на напоре котлового насоса №4,,Дистанционный режим работы,,,,ДУ,
429,158,,Затвор дисковый К-29 на напоре котлового насоса №4,,Автоматический выключатель отключен,,,,ПС,
430,159,F0NDG04CP151,"Датчик ""сухого хода"" на напоре котлового насоса №4 (К4.4)",,,,,,ФГУ,замыкается при понижении
431,160,,"Датчик ""сухого хода"" на напоре ППНК- 1 (К23.1)",,сработал,,,,ФГУ,замыкается при понижении
432,161,,"Датчик ""сухого хода"" на напоре ППНК- 2 (К23.2)",,сработал,,,,ФГУ,замыкается при понижении
433,162,,Затвор дисковый секционирующий К- 1С на коллекторе обратной котловой воды,,Не открыто,,,,ДУ,
434,163,,Затвор дисковый секционирующий К- 1С на коллекторе обратной котловой воды,,Не закрыто,,,,ДУ,
435,164,,Затвор дисковый секционирующий К- 1С на коллекторе обратной котловой воды,,превышение момента на открытие,,,,ДУ,
436,165,,Затвор дисковый секционирующий К- 1С на коллекторе обратной котловой воды,,превышение момента на закрытие,,,,ДУ,
437,166,,Затвор дисковый секционирующий К- 1С на коллекторе обратной котловой воды,,Дистанционный режим работы,,,,ДУ,
440,169,,Затвор дисковый секционирующий К- 1С на коллекторе обратной котловой воды,,Автоматический выключатель отключен,,,,ПС,
441,170,,Содержание кислорода в подпиточной воде котлового контура после БВД-10,,содержание кислорода меньше уставки,,,,,
442,171,,Содержание кислорода в подпиточной воде котлового контура после БВД-10,,содержание кислорода больше уставки,,,,,
443,172,F0NDG20CQ003,Содержание кислорода в обратной котловой воде после подпитки,,,,,,,
444,173,F0NDG20CQ003,Содержание кислорода в обратной котловой воде после подпитки,,,,,,,
445,174,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,,Не открыто,,,,ДУ,
446,175,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,,Не закрыто,,,,ДУ,
447,176,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,,превышение момента,,,,ДУ,
448,177,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,,Неисправность,,,,ДУ,
449,178,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,,Готовность,,,,ДУ,
450,179,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,,Автоматический выключатель отключен,,,,ПС,
451,180,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,,Не открыто,,,,ДУ,
452,181,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,,Не закрыто,,,,ДУ,
453,182,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,,превышение момента,,,,ДУ,
454,183,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,,Неисправность,,,,ДУ,
455,184,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,,Готовность,,,,ДУ,
456,185,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,,Автоматический выключатель отключен,,,,ПС,
457,186,,Регулятор давления обратной котловой воды РД-К,,Открыто,,,,"АР,ДУ",
458,187,,Регулятор давления обратной котловой воды РД-К,,Закрыто,,,,"АР,ДУ",
459,188,,Регулятор давления обратной котловой воды РД-К,,Автоматический выключатель отключен,,,,ПС,
460,189,,Затвор дисковый секционирующий К- 2С на коллекторе прямой котловой воды,,Не открыто,,,,ДУ,
461,190,,Затвор дисковый секционирующий К- 2С на коллекторе прямой котловой воды,,Не закрыто,,,,ДУ,
462,191,,Затвор дисковый секционирующий К- 2С на коллекторе прямой котловой воды,,превышение момента на открытие,,,,ДУ,
463,192,,Затвор дисковый секционирующий К- 2С на коллекторе прямой котловой воды,,превышение момента на закрытие,,,,ДУ,
464,193,,Затвор дисковый секционирующий К- 2С на коллекторе прямой котловой воды,,Дистанционный режим работы,,,,ДУ,
467,196,,Затвор дисковый секционирующий К- 2С на коллекторе прямой котловой воды,,Автоматический выключатель отключен,,,,ПС,
468,197,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,Не открыто,,,,ДУ,
469,198,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,Не закрыто,,,,ДУ,
470,199,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,превышение момента на открытие,,,,ДУ,
471,200,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,превышение момента на закрытие,,,,ДУ,
472,201,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,Дистанционный режим работы,,,,ДУ,
475,204,,Затвор дисковый К-1 на входе котловой воды в ВК-1,,Автоматический выключатель отключен,,,,ПС,
476,205,,Затвор дисковый РК. КА1 регулятор расхода воды через ВК-1,,Не открыто,,,,ДУ,
477,206,,Затвор дисковый РК. КА1 регулятор расхода воды через ВК-1,,Не закрыто,,,,ДУ,
478,207,,Затвор дисковый РК. КА1 регулятор расхода воды через ВК-1,,превышение момента,,,,ДУ,
479,208,,Затвор дисковый РК. КА1 регулятор расхода воды через ВК-1,,Неисправность,,,,ДУ,
480,209,,Затвор дисковый РК. КА1 регулятор расхода воды через ВК-1,,Готовность,,,,ДУ,
481,210,,Затвор дисковый РК. КА1 регулятор расхода воды через ВК-1,,Автоматический выключатель отключен,,,,ПС,
482,211,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,Не открыто,,,,ДУ,
483,212,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,Не закрыто,,,,ДУ,
484,213,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,превышение момента на открытие,,,,ДУ,
485,214,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,превышение момента на закрытие,,,,ДУ,
486,215,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,Дистанционный режим работы,,,,ДУ,
489,218,,Затвор дисковый К-2 на выходе котловой воды из ВК-1,,Автоматический выключатель отключен,,,,ПС,
490,219,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,Не открыто,,,,ДУ,
491,220,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,Не закрыто,,,,ДУ,
492,221,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,превышение момента на открытие,,,,ДУ,
493,222,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,превышение момента на закрытие,,,,ДУ,
494,223,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,Дистанционный режим работы,,,,ДУ,
497,226,,Затвор дисковый К-3 на входе котловой воды в ВК-2,,Автоматический выключатель отключен,,,,ПС,
498,227,,Затвор дисковый РК. КА2 регулятор расхода воды через ВК-2,,Не открыто,,,,ДУ,
499,228,,Затвор дисковый РК. КА2 регулятор расхода воды через ВК-2,,Не закрыто,,,,ДУ,
500,229,,Затвор дисковый РК. КА2 регулятор расхода воды через ВК-2,,превышение момента,,,,ДУ,
501,230,,Затвор дисковый РК. КА2 регулятор расхода воды через ВК-2,,Неисправность,,,,ДУ,
502,231,,Затвор дисковый РК. КА2 регулятор расхода воды через ВК-2,,Готовность,,,,ДУ,
503,232,,Затвор дисковый РК. КА2 регулятор расхода воды через ВК-2,,Автоматический выключатель отключен,,,,ПС,
504,233,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,Не открыто,,,,ДУ,
505,234,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,Не закрыто,,,,ДУ,
506,235,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,превышение момента на открытие,,,,ДУ,
507,236,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,превышение момента на закрытие,,,,ДУ,
508,237,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,Дистанционный режим работы,,,,ДУ,
511,240,,Затвор дисковый К-4 на выходе котловой воды из ВК-2,,Автоматический выключатель отключен,,,,ПС,
512,241,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,Не открыто,,,,ДУ,
513,242,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,Не закрыто,,,,ДУ,
514,243,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,превышение момента на открытие,,,,ДУ,
515,244,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,превышение момента на закрытие,,,,ДУ,
516,245,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,Дистанционный режим работы,,,,ДУ,
519,248,,Затвор дисковый К-5 на входе котловой воды в ВК-3,,Автоматический выключатель отключен,,,,ПС,
520,249,,Затвор дисковый РК. КА3 регулятор расхода воды через ВК-3,,Не открыто,,,,ДУ,
521,250,,Затвор дисковый РК. КА3 регулятор расхода воды через ВК-3,,Не закрыто,,,,ДУ,
522,251,,Затвор дисковый РК. КА3 регулятор расхода воды через ВК-3,,превышение момента,,,,ДУ,
523,252,,Затвор дисковый РК. КА3 регулятор расхода воды через ВК-3,,Неисправность,,,,ДУ,
524,253,,Затвор дисковый РК. КА3 регулятор расхода воды через ВК-3,,Готовность,,,,ДУ,
525,254,,Затвор дисковый РК. КА3 регулятор расхода воды через ВК-3,,Автоматический выключатель отключен,,,,ПС,
526,255,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,Не открыто,,,,ДУ,
527,256,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,Не закрыто,,,,ДУ,
528,257,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,превышение момента на открытие,,,,ДУ,
529,258,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,превышение момента на закрытие,,,,ДУ,
530,259,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,Дистанционный режим работы,,,,ДУ,
533,262,,Затвор дисковый К-6 на выходе котловой воды из ВК-3,,Автоматический выключатель отключен,,,,ПС,
534,263,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,Не открыто,,,,ДУ,
535,264,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,Не закрыто,,,,ДУ,
536,265,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,превышение момента на открытие,,,,ДУ,
537,266,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,превышение момента на закрытие,,,,ДУ,
538,267,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,Дистанционный режим работы,,,,ДУ,
541,270,,Затвор дисковый К-7 на входе котловой воды в ВК-4,,Автоматический выключатель отключен,,,,ПС,
542,271,,Затвор дисковый РК. КА4 регулятор расхода воды через ВК-4,,Не открыто,,,,ДУ,
543,272,,Затвор дисковый РК. КА4 регулятор расхода воды через ВК-4,,Не закрыто,,,,ДУ,
544,273,,Затвор дисковый РК. КА4 регулятор расхода воды через ВК-4,,превышение момента,,,,ДУ,
545,274,,Затвор дисковый РК. КА4 регулятор расхода воды через ВК-4,,Неисправность,,,,ДУ,
546,275,,Затвор дисковый РК. КА4 регулятор расхода воды через ВК-4,,Готовность,,,,ДУ,
547,276,,Затвор дисковый РК. КА4 регулятор расхода воды через ВК-4,,Автоматический выключатель отключен,,,,ПС,
548,277,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,Не открыто,,,,ДУ,
549,278,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,Не закрыто,,,,ДУ,
550,279,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,превышение момента на открытие,,,,ДУ,
551,280,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,превышение момента на закрытие,,,,ДУ,
552,281,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,Дистанционный режим работы,,,,ДУ,
555,284,,Затвор дисковый К-8 на выходе котловой воды из ВК-4,,Автоматический выключатель отключен,,,,ПС,
556,285,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,Не открыто,,,,ДУ,
557,286,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,Не закрыто,,,,ДУ,
558,287,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,превышение момента на открытие,,,,ДУ,
559,288,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,превышение момента на закрытие,,,,ДУ,
560,289,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,Дистанционный режим работы,,,,ДУ,
563,292,,Затвор дисковый К-9 на входе котловой воды в ВК-5,,Автоматический выключатель отключен,,,,ПС,
564,293,,Затвор дисковый РК. КА5 регулятор расхода воды через ВК-5,,Не открыто,,,,ДУ,
565,294,,Затвор дисковый РК. КА5 регулятор расхода воды через ВК-5,,Не закрыто,,,,ДУ,
566,295,,Затвор дисковый РК. КА5 регулятор расхода воды через ВК-5,,превышение момента,,,,ДУ,
567,296,,Затвор дисковый РК. КА5 регулятор расхода воды через ВК-5,,Неисправность,,,,ДУ,
568,297,,Затвор дисковый РК. КА5 регулятор расхода воды через ВК-5,,Готовность,,,,ДУ,
569,298,,Затвор дисковый РК. КА5 регулятор расхода воды через ВК-5,,Автоматический выключатель отключен,,,,ПС,
570,299,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,Не открыто,,,,ДУ,
571,300,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,Не закрыто,,,,ДУ,
572,301,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,превышение момента на открытие,,,,ДУ,
573,302,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,превышение момента на закрытие,,,,ДУ,
574,303,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,Дистанционный режим работы,,,,ДУ,
577,306,,Затвор дисковый К-10 на выходе котловой воды из ВК-5,,Автоматический выключатель отключен,,,,ПС,
578,307,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,Не открыто,,,,ДУ,
579,308,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,Не закрыто,,,,ДУ,
580,309,,Затвор дисковый К-11 на входе котловой воды в ВК-6,,превышение момента на открытие,,,,ДУ,
