"2
",,,,перечень сигналов ивановская тэц-2,,2135,,1044,508,580,3,965,75,KKS параметра,Питание датчика,KKS механизма,min,max,Ед.изм,"Участие
в задачах",Примечание
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG02AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG02AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG02AA001YB03,,,,,,ДУ,н.з.контакт
,,,Затвор дисковый К-33 на напоре котлового насоса №2,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA002XB51,,F0NDG02AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA002XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA002XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA002XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG02AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG02AA002YB01,,,,,,"ДУ,ФГУ",
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG02AA002YB02,,,,,,"ДУ,ФГУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG02AA002YB03,,,,,,"ДУ,ФГУ",н.з.контакт
,АСУ ТП ВК,Котловой насос №3,,Давление на всасе котлового насоса №3,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CP001,"=24В, 0,5ВА",,-1,10,кгс/см²,,
,,,,Давление на напоре котлового насоса №3,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CP002,"=24В, 0,5ВА",,0,16,кгс/см²,,
,,,,"Датчик ""сухого хода"" на напоре котлового насоса №3 (К4.3)",дискретный,входящий,?,1,,,,,0,F0NDG03CP151XG02,,F0NDG03CP151,,,,ФГУ,замыкается при понижении
,,,Котловой насос №3,Температура подшипника №1,аналоговый,входящий,R,,,1,,,0,F0NDG03CT101,-,,0,150,°C,,
,,,,Температура подшипника №2,аналоговый,входящий,R,,,1,,,0,F0NDG03CT102,-,,0,150,°C,,
,,,,Температура подшипника №3,аналоговый,входящий,R,,,1,,,0,F0NDG03CT103,-,,0,150,°C,,
,,,,Температура подшипника №4,аналоговый,входящий,R,,,1,,,0,F0NDG03CT104,-,,0,150,°C,,
,,,,Температура обмоток электродвигателя фаза U,аналоговый,входящий,R,,,1,,,0,F0NDG03CT105,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,Температура обмоток электродвигателя фаза V,аналоговый,входящий,R,,,1,,,0,F0NDG03CT106,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,Температура обмоток электродвигателя фаза W,аналоговый,входящий,R,,,1,,,0,F0NDG03CT107,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,"Вибрация подшипника №1, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY001,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №1, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY002,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №1, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY003,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY004,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY005,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY006,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY007,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY008,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY009,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY010,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY011,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CY012,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,Ток электродвигателя,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG03CE012,-,,0,800,А,,
,,,Затвор дисковый К-30 на всасе котлового насоса №3,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA001XB51,,F0NDG03AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA001XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG03AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG03AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG03AA001YB03,,,,,,ДУ,н.з.контакт
,,,Затвор дисковый К-31 на напоре котлового насоса №3,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA002XB51,,F0NDG03AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA002XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA002XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA002XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG03AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG03AA002YB01,,,,,,"ДУ,ФГУ",
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG03AA002YB02,,,,,,"ДУ,ФГУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG03AA002YB03,,,,,,"ДУ,ФГУ",н.з.контакт
,АСУ ТП ВК,Котловой насос №4,,Давление на всасе котлового насоса №4,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CP001,"=24В, 0,5ВА",,-1,10,кгс/см²,,
,,,,Давление на напоре котлового насоса №4,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CP002,"=24В, 0,5ВА",,0,16,кгс/см²,,
,,,,"Датчик ""сухого хода"" на напоре котлового насоса №4 (К4.4)",дискретный,входящий,?,1,,,,,0,F0NDG04CP151XG02,,F0NDG04CP151,,,,ФГУ,замыкается при понижении
,,,Котловой насос №4,Температура подшипника №1,аналоговый,входящий,R,,,1,,,0,F0NDG04CT101,-,,0,150,°C,,
,,,,Температура подшипника №2,аналоговый,входящий,R,,,1,,,0,F0NDG04CT102,-,,0,150,°C,,
,,,,Температура подшипника №3,аналоговый,входящий,R,,,1,,,0,F0NDG04CT103,-,,0,150,°C,,
,,,,Температура подшипника №4,аналоговый,входящий,R,,,1,,,0,F0NDG04CT104,-,,0,150,°C,,
,,,,Температура обмоток электродвигателя фаза U,аналоговый,входящий,R,,,1,,,0,F0NDG04CT105,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,Температура обмоток электродвигателя фаза V,аналоговый,входящий,R,,,1,,,0,F0NDG04CT106,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,Температура обмоток электродвигателя фаза W,аналоговый,входящий,R,,,1,,,0,F0NDG04CT107,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,"Вибрация подшипника №1, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY001,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №1, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY002,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №1, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY003,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY004,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY005,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY006,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY007,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY008,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY009,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY010,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY011,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CY012,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,Ток электродвигателя,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG04CE012,-,,0,800,А,,
,,,Затвор дисковый К-28 на всасе котлового насоса №4,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA001XB51,,F0NDG04AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA001XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG04AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG04AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG04AA001YB03,,,,,,ДУ,н.з.контакт
,,,Затвор дисковый К-29 на напоре котлового насоса №4,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA002XB51,,F0NDG04AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA002XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA002XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA002XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG04AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG04AA002YB01,,,,,,"ДУ,ФГУ",
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG04AA002YB02,,,,,,"ДУ,ФГУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG04AA002YB03,,,,,,"ДУ,ФГУ",н.з.контакт
,АСУ ТП ВК,ШУ котловыми насосами №1…4,,Выходная частота ЧРП,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,F0CUB04CE015,-,,0,50,Гц,,Шкаф ШУН
,,,,Задание для ЧРП котловых насосов №1…4,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB04DP001,,,,,,"АР,ДУ",
,,,,Пуск котлового насоса,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB04GU001YB01,,F0CUB04GU001,,,,"ТБ,ДУ",
,,,,Стоп котлового насоса,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB04GU001YB02,,,,,,"ТЗ,ДУ",
,АСУ ТП ВК,Общие трубопроводы обвязки котлов по котловой воде. Обратная котловая вода,,Температура обратной котловой воды на выходе из системы вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG23CT001,"=24В, 0,5ВА",,0,200,°C,,
,,,,Давление обратной котловой воды на выходе из системы вентиляции,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG23CP001,"=24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Давление обратной котловой воды на входе в котельную,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG20CP001," =24В, 0,5ВА",,0,6,кгс/см²,,
,,,,Уровень в баке-аккумуляторе запаса котловой воды,аналоговый,входящий,4-20мА,,,1,,,0,F0GBK10CL001,-,,0,2.2,м,,
,,,,Давление на всасе насоса №1 подпитки котлового контура К23.1,аналоговый,входящий,4-20мА,,,1,,,0,F0GBK11CP001,"=24В, 0,5ВА",,-1,0.5,кгс/см²,,
,,,,Давление на напоре насоса №1 подпитки котлового контура К23.1,аналоговый,входящий,4-20мА,,,1,,,0,F0GBK11CP002,"=24В, 0,5ВА",,0,6.5,кгс/см²,,
,,,,Давление на всасе насоса №2 подпитки котлового контура К23.2,аналоговый,входящий,4-20мА,,,1,,,0,F0GBK12CP001,"=24В, 0,5ВА",,-1,0.5,кгс/см²,,
,,,,Давление на напоре насоса №2 подпитки котлового контура К23.2,аналоговый,входящий,4-20мА,,,1,,,0,F0GBK12CP002,"=24В, 0,5ВА",,0,6.5,кгс/см²,,
,,,,Температура обратной котловой воды на входе в котельную,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG20CT001,"=24В, 0,5ВА",,0,200,°C,,
,,,,Давление обратной котловой воды в коллекторе перед котлами,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG10CP001,"=24В, 0,5ВА",,0,25,кгс/см²,,
,,,,Ток электродвигателя К23.1,аналоговый,входящий,4-20мА,,,1,,,0,F0GBK01CE012,-,,0,50,А,,
,,,,Ток электродвигателя К23.2,аналоговый,входящий,4-20мА,,,1,,,0,F0GBK02CE012,-,,0,50,А,,
,,,,"Датчик ""сухого хода"" на напоре ППНК 1 (К23.1)",дискретный,входящий,?,1,,,,,0,F0GBK11CP151XG02,,F0GBK11CP151,,,,ФГУ,замыкается при понижении
,,,,"Датчик ""сухого хода"" на напоре ППНК 2 (К23.2)",дискретный,входящий,?,1,,,,,0,F0GBK12CP151XG02,,F0GBK12CP151,,,,ФГУ,замыкается при понижении
,,,Содержание кислорода в подпиточной воде котлового контура после БВД-10,Содержание кислорода,аналоговый,входящий,4-20мА,,,1,,,0,F0GBK10CQ003,-,F0GBK10CQ003,0,50,мкг/л,,
,,,,Содержание кислорода меньше уставки,дискретный,входящий,=24В,1,,,,,0,F0GBK10CQ003XG01,,,,,,ПС,
,,,,Содержание кислорода больше уставки,дискретный,входящий,=24В,1,,,,,0,F0GBK10CQ003XG02,,,,,,ПС,
,,,Содержание кислорода в обратной котловой воде после подпитки,Содержание кислорода,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG20CQ003,"=24В, 0,5ВА",F0NDG20CQ003,0,50,мкг/л,,
,,,,Содержание кислорода меньше уставки,дискретный,входящий,=24В,1,,,,,0,F0NDG20CQ003XG01,,,,,,ПС,
,,,,Содержание кислорода больше уставки,дискретный,входящий,=24В,1,,,,,0,F0NDG20CQ003XG02,,,,,,ПС,
,,,Затвор дисковый секционирующий К-1С на коллекторе обратной котловой воды,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG10AA002XB51,,F0NDG10AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG10AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG10AA002XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG10AA002XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG10AA002XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG10AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG10AA002YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG10AA002YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG10AA002YB03,,,,,,ДУ,н.з.контакт
,,,Регулятор температуры обратной котловой воды Ду200 РТ-об1,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG20CG801,-,F0NDG20AA801,0,100,%,"АР,ДУ",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA801XC51,,,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA801XC52,,,,,,ДУ,
,,,,Превышение момента,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA801XC04,,,,,,ДУ,
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA801XC57,,,,,,ДУ,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA801XC10,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA801XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0NDG20AA801YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0NDG20AA801YC02,,,,,,"АР,ДУ",
,,,Регулятор температуры обратной котловой воды Ду400 РТ-об2,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG20CG802,-,F0NDG20AA802,0,100,%,"АР,ДУ",
,,,,Не открыто,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA802XC51,,,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA802XC52,,,,,,ДУ,
,,,,Превышение момента,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA802XC04,,,,,,ДУ,
,,,,Неисправность,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA802XC57,,,,,,ДУ,
,,,,Готовность,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA802XC10,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,=24В,1,,,,,0,F0NDG20AA802XM01,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0NDG20AA802YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0NDG20AA802YC02,,,,,,"АР,ДУ",
,,, Регулятор давления обратной котловой воды РД-К,Положение ИМ,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG20CG803,-,F0NDG20AA803,0,100,%,"АР,ДУ",
,,,,Открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG20AA803XC51,,,,,,"АР,ДУ",
,,,,Закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG20AA803XC52,,,,,,"АР,ДУ",
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG20AA803XC04,,,,,,ПС,
,,,,Больше,дискретный,исходящий,=24В,,1,,,,0,F0NDG20AA803YC01,,,,,,"АР,ДУ",
,,,,Меньше,дискретный,исходящий,=24В,,1,,,,0,F0NDG20AA803YC02,,,,,,"АР,ДУ",
,АСУ ТП ВК,"ШУ насосами подпитки котлового контура ППНК-1,2",,Выходная частота ЧРП,цифровой,входящий,RS485 Modbus RTU,,,,,1,1,F0CUB05CE015,-,,0,50,Гц,,Шкаф ШУН
,,,,"Задание для ЧРП ППНК-1,2",цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB05DP001,,,,,,"АР,ДУ",
,,,,Пуск насоса подпитки котлового насоса,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB05GU001YB01,,F0CUB05GU001,,,,"ТБ,ДУ",
,,,,Стоп насоса подпитки котлового насоса,цифровой,исходящий,RS485 Modbus RTU,,,,,1,,F0CUB05GU001YB02,,,,,,"ТЗ,ДУ",
,АСУ ТП ВК,Общие трубопроводы обвязки котлов по котловой воде. Прямая котловая вода,,Температура прямой котловой воды в общем коллекторе котлов,аналоговый,входящий,4-20мА,,,1,,,0,F0NDF10CT001,"=24В, 0,5ВА",,0,200,°C,,
,,,,Давление прямой котловой воды на подогреватели ХОВ,аналоговый,входящий,4-20мА,,,1,,,0,F0NDF22CP001,"=24В, 0,5ВА",,0,25,кгс/см²,,
,,,,Температура прямой котловой воды на подогреватели ХОВ,аналоговый,входящий,4-20мА,,,1,,,0,F0NDF22CT001,"=24В, 0,5ВА",,0,200,°C,,
,,,,"Расход воды на теплообменники К11, К16",аналоговый,входящий,4-20мА,,,1,,,0,F0NDF22CF002,"=24В, 5ВА",,0,400,т/ч,,
,,,,Расход воды на теплообменник К12,аналоговый,входящий,4-20мА,,,1,,,0,F0NDF22CF001,"=24В, 5ВА",,0,400,т/ч,,
,,,Затвор дисковый секционирующий К-2С на коллекторе прямой котловой воды,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF10AA002XB51,,F0NDF10AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF10AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF10AA002XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF10AA002XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF10AA002XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDF10AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF10AA002YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF10AA002YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDF10AA002YB03,,,,,,ДУ,н.з.контакт
,АСУ ТП ВК,Водогрейный котел ВК-1,,Температура воды после задвижки,аналоговый,входящий,4-20мА,,,1,,,0,F1NDG10CT001,"=24В, 0,5ВА",,0,200,°C,,
,,,,Давление воды перед котлом,аналоговый,входящий,4-20мА,,,1,,,0,F1NDG10CP001,"=24В, 0,5ВА",,0,25,кгс/см²,,
,,,,Температура воды перед котлом,аналоговый,входящий,4-20мА,,,1,,,0,F1NDG10CT002,"=24В, 0,5ВА",,0,200,°C,,
,,,,Давление воды после котла,аналоговый,входящий,4-20мА,,,1,,,0,F1NDF10CP001,"=24В, 0,5ВА",,0,25,кгс/см²,,
,,,,Температура воды после котла,аналоговый,входящий,4-20мА,,,1,,,0,F1NDF10CT001,"=24В, 0,5ВА",,0,200,°C,,
,,,,Давление газа перед фильтром котла,аналоговый,входящий,4-20мА,,,1,,,0,F1HHG20СР001,"=24В, 0,5Вт",,0,2.5,кгс/см²,"ПС, Р",
,,,,Давление газа после фильтра котла,аналоговый,входящий,4-20мА,,,1,,,0,F1HHG20СР002,"=24В, 0,5Вт",,0,2.5,кгс/см²,"ПС, Р",
,,,,Давление газа перед котлом до регулятора,аналоговый,входящий,4-20мА,,,1,,,0,F1HHG20СР003,"=24В, 0,5Вт",,0,2.5,кгс/см²,"ПС, Р",
,,,,Давление газа перед котлом после регулятора,аналоговый,входящий,4-20мА,,,1,,,0,F1HHG20СР004,"=24В, 0,5Вт",,0,1.0,кгс/см²,"АР, Р",
