,№ п/п,Наименование параметра,Параметры питания датчика,KKS-код параметра,Тип датчика,"Вид сигнала, градуировка, протокол",min,max,Ед. изм.,Примечание,Страница
188,189,Температура обратной котловой воды на входе в котельную F0ND,"=24В, 0,5ВА",F0NDG20CT001,ТПУ-205,"4-20мА, линейный",0,200,°C,,16
189,190,Содержание кислорода в обратной котловой воде после подпитки F0ND,"=24В, 0,5ВА",F0NDG20CQ003,МАРК-409Т,"4-20мА, линейный",0,50,мкг/л,,16
190,191,Давление обратной котловой воды в коллекторе перед котлами F0ND,"=24В, 0,5ВА",F0NDG10CP001,АИР-20/М2-H,"4-20мА, линейный",0,25,кгс/см²,,16
191,192,Положение ИМ регулирующего клапана РТ об1 F0ND,-,F0NDG20CG801,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",16
192,193,Положение ИМ регулирующего клапана РТ об2 F0ND,-,F0NDG20CG802,токовый датчик,"4-20мА, линейный, токовый датчик",,,%,"АР,ДУ",16
193,194,Ток электродвигателя К23.1 F0GB,-,F0GBK01CE012,,"4-20мА, линейный",0,50,А,,16
194,195,Ток электродвигателя К23.2 F0GB,-,F0GBK02CE012,,"4-20мА, линейный",0,50,А,,16
195,196,Выходная частота F0CU,-,F0CUB05CE015,ЧРП,"RS485, Modbus RTU",0,50,Гц,Шкаф ШУН,16
196,197,Тепература прямой котловой воды в общем коллекторе котлов F0ND,"=24В, 0,5ВА",F0NDF10CT001,ТПУ-205,"4-20мА, линейный",0,200,°C,,16
197,198,Давление прямой котловой воды на подогреватели ХОВ F0ND,"=24В, 0,5ВА",F0NDF22CP001,АИР-20/М2-H,"4-20мА, линейный",0,25,кгс/см²,,16
198,199,Температура прямой котловой воды на подогреватели ХОВ F0ND,"=24В, 0,5ВА",F0NDF22CT001,ТПУ-205,"4-20мА, линейный",0,200,°C,,16
199,200,"Расход воды на теплообменники К11, К16 F0ND","=24В, 5ВА",F0NDF22CF002,ВЗЛЕТ ЭР,"4-20мА, линейный",0,400,т/ч,,17
